,address,asking_price,baths,beds,city,cooling,days_on_zillow,exterior_lot,exterior_lot_depth,exterior_lot_width,foreclosure_estimate,heating,hoa,lot,mls__,offer_type,parking,price_sqft,saves,sqft,type,year_built,zestimate_value,zestimate_price_sqft
39,290 Zerega Ave,,,,"Bronx, NY 10473",No Data,No Data,1962.0,93.0,22.0,"$521,458",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,1,3068,Multiple Occupancy,2011.0,704673.0,229.6848109517601
40,463 Castle Hill Ave,,3.0,6.0,"Bronx, NY 10473",No Data,3678 Days,2713.0,108.0,25.0,"$491,615",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,56,3316,Multi Family,2000.0,664345.0,200.34529553679133
41,2243 Hermany Ave,,,,"Bronx, NY 10473",No Data,3242 Days,2575.0,103.0,25.0,"$394,827",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,1,3350,Multiple Occupancy,1925.0,533550.0,159.26865671641792
42,905 Olmstead Ave,,,,"Bronx, NY 10473",No Data,5110 Days,7033.0,90.0,78.0,"$526,235",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,3,2975,Multiple Occupancy,1910.0,711129.0,239.03495798319327
43,2008 Turnbull Ave,,,,"Bronx, NY 10473",No Data,No Data,3058.0,100.0,30.0,"$388,571",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,No Data,1782,Multiple Occupancy,1950.0,525096.0,294.6666666666667
44,536 Pugsley Ave,,,,"Bronx, NY 10473",No Data,No Data,1840.0,92.0,20.0,"$388,733",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,2,2325,Multiple Occupancy,1988.0,525315.0,225.94193548387096
45,509 Olmstead Ave,,,,"Bronx, NY 10473",No Data,6051 Days,2000.0,100.0,20.0,"$405,881",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,No Data,2325,Multiple Occupancy,1987.0,548488.0,235.90881720430107
46,2063 Turnbull Ave,,,,"Bronx, NY 10473",No Data,No Data,2060.0,103.0,20.0,"$324,008",No Data,,"2,060 sqft",,PRE-FORECLOSURE,Attached Garage,No Data,No Data,2172,Single Family,1940.0,437849.0,201.5879373848987
47,2214 Virgil Pl,,,,"Bronx, NY 10473",No Data,4127 Days,2250.0,90.0,25.0,"$313,535",No Data,,"2,250 sqft",,PRE-FORECLOSURE,No Data,No Data,2,1447,Single Family,2005.0,423696.0,292.80995162404975
48,2087 Homer Ave,,,,"Bronx, NY 10473",No Data,No Data,2250.0,90.0,25.0,"$300,672",No Data,,,No Data,PRE-FORECLOSURE,No Data,No Data,1,1760,Multiple Occupancy,1960.0,406314.0,230.8602272727273
49,439 Turneur Ave,,,,"Bronx, NY 10473",No Data,8613 Days,2860.0,108.0,26.0,"$341,498",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,No Data,1630,Multiple Occupancy,1960.0,461484.0,283.119018404908
50,2228 Story Ave,,,,"Bronx, NY 10473",No Data,6170 Days,2575.0,103.0,25.0,"$295,930",No Data,,"2,575 sqft",,PRE-FORECLOSURE,No Data,No Data,8,1550,Single Family,1920.0,399906.0,258.00387096774193
51,2068 Turnbull Ave,,,,"Bronx, NY 10473",No Data,2976 Days,1800.0,100.0,18.0,"$350,234",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,No Data,1782,Multiple Occupancy,1945.0,473290.0,265.5948372615039
52,2152 Homer Ave,,,,"Bronx, NY 10473",No Data,No Data,3742.0,100.0,37.0,"$293,961",No Data,,"3,742 sqft",,PRE-FORECLOSURE,No Data,No Data,2,1344,Single Family,1940.0,397245.0,295.56919642857144
53,2263 Cincinnatus Ave,,2.0,3.0,"Bronx, NY 10473",No Data,6581 Days,1925.0,100.0,19.0,"$351,826",No Data,,,No Data,PRE-FORECLOSURE,Attached Garage,No Data,3,6650,Multi Family,1935.0,475441.0,71.49488721804511
54,513 Olmstead Ave,,,5.0,"Bronx, NY 10473",No Data,No Data,2004.0,100.0,20.0,"$373,338",No Data,,"2,004 sqft",,PRE-FORECLOSURE,No Data,No Data,8,2325,Single Family,1987.0,504512.0,216.99440860215054
55,300 Zerega Ave,,3.5,4.0,"Bronx, NY 10473",Central,1421 Days,2003.0,400.0,195.0,"$585,925",Forced air,,,No Data,PRE-FORECLOSURE,1 space,No Data,16,2850,Multi Family,2011.0,791791.0,277.82140350877194
56,508 White Plains Rd,,4.0,3.0,"Bronx, NY 10473","Evaporative, Wall",4167 Days,3049.0,,,"$322,367",No Data,,"3,049 sqft",,PRE-FORECLOSURE,2 spaces,No Data,60,1364,Single Family,1930.0,435632.0,319.3782991202346
57,443 Effingham Ave,,,,"Bronx, NY 10473",No Data,No Data,1949.0,108.0,18.0,"$297,494",No Data,,"1,949 sqft",,PRE-FORECLOSURE,Attached Garage,No Data,No Data,1594,Single Family,1960.0,402019.0,252.20765370138017
58,2093 Homer Ave,,,,"Bronx, NY 10473",No Data,No Data,2250.0,90.0,25.0,"$278,253",No Data,,"2,250 sqft",,PRE-FORECLOSURE,Attached Garage,No Data,1,1540,Single Family,1960.0,376018.0,244.16753246753248
59,2125 Quimby Ave,350000.0,1.0,2.0,"Bronx, NY 10473",No Data,230 Days,2548.0,103.0,24.0,,No Data,,"2,548 sqft",,FOR SALE,Attached Garage,$262,17,1334,Single Family,1915.0,414824.0,310.96251874062966
60,918 Havemeyer Ave,750000.0,3.0,8.0,"Bronx, NY 10473",Other,35 Days,2918.0,113.0,25.0,,No Data,,,2960598,FOR SALE,3 spaces,$223,15,3360,Multi Family,1945.0,722696.0,215.08809523809524
61,454 Effingham Ave,419000.0,1.0,1.0,"Bronx, NY 10473",No Data,69 Days,2500.0,100.0,25.0,,No Data,,,4729930,FOR SALE,Attached Garage,$256,5,1638,Multi Family,1940.0,457894.0,279.5445665445665
62,2217 Homer Ave,370000.0,2.0,3.0,"Bronx, NY 10473",No Data,85 Days,2252.0,90.0,25.0,,No Data,,"2,252 sqft",,FOR SALE,Attached Garage,$226,35,1638,Single Family,1915.0,401148.0,244.9010989010989
63,427 Turneur Ave,,1.0,1.0,"Bronx, NY 10473",No Data,4068 Days,3311.0,108.0,30.0,Price Unknown,No Data,No Data,,,PRE-FORECLOSURE,Attached Garage,No Data,13,3759,Apartment,2002.0,,
64,501 Olmstead Ave,,4.0,6.0,"Bronx, NY 10473",No Data,161 Days,3000.0,100.0,30.0,"$404,655",No Data,,,4734387,FORECLOSURE,Carport,$192,35,2345,Multi Family,1987.0,546832.0,233.19061833688698
65,2138 Virgil Pl,427000.0,2.5,3.0,"Bronx, NY 10473",No Data,163 Days,2038.0,90.0,22.0,,No Data,,,4712986,FOR SALE,Attached Garage,$264,27,1620,Multi Family,1960.0,454590.0,280.6111111111111
66,2325 Hermany Ave,484000.0,2.0,2.0,"Bronx, NY 10473",No Data,108 Days,3423.0,103.0,33.0,,No Data,,"3,423 sqft",,FOR SALE,No Data,$299,22,1620,Single Family,1910.0,458262.0,282.8777777777778
67,2000 Cincinnatus Ave,469000.0,1.5,3.0,"Bronx, NY 11423",No Data,84 Days,,,,,No Data,,No Data,,FOR SALE,Attached Garage,$335,5,1400,Single Family,,431757.0,308.39785714285716
68,511 Olmstead Ave,575000.0,,2.0,"Bronx, NY 10473",No Data,64 Days,2000.0,100.0,20.0,,No Data,,,69374,FOR SALE,No Data,$247,No Data,2325,Multi Family,1987.0,578884.0,248.98236559139784
69,430 Olmstead Ave,699000.0,3.0,8.0,"Bronx, NY 10473",No Data,43 Days,2238.0,108.0,20.0,,No Data,,,4734002,FOR SALE,Attached Garage,$262,10,2664,Multi Family,1965.0,620647.0,232.97560060060061
70,502 White Plains Rd,659000.0,11.0,9.0,"Bronx, NY 10473",No Data,201 Days,3001.0,,,,Baseboard,,,4739400,FOR SALE,1 space,$249,36,2648,Multi Family,1930.0,662885.0,250.3342145015106
71,2239 Story Ave,570000.0,4.0,7.0,"Bronx, NY 10473",No Data,110 Days,2575.0,103.0,25.0,,No Data,,,4722934,FOR SALE,Attached Garage,$204,26,2800,Multi Family,1930.0,575816.0,205.64857142857142
72,2017 Turnbull Ave,499000.0,2.5,5.0,"Bronx, NY 10473",No Data,54 Days,2060.0,103.0,20.0,,No Data,,"2,060 sqft",,FOR SALE,Attached Garage,$248,23,2009,Single Family,1940.0,472882.0,235.3817819810851
73,770 Olmstead Ave,700000.0,3.0,5.0,"Bronx, NY 10473",No Data,36 Days,2960.0,99.0,29.0,,Radiant,,,4734963,FOR SALE,2 spaces,$180,8,3880,Multi Family,1930.0,692071.0,178.3688144329897
74,446 Olmstead Ave,699000.0,3.0,8.0,"Bronx, NY 10473",No Data,54 Days,2238.0,108.0,20.0,,No Data,,,No Data,FOR SALE,2 spaces,$262,45,2664,Multi Family,1965.0,608989.0,228.59947447447448
75,461 Olmstead Ave,515000.0,2.0,3.0,"Bronx, NY 10473",Central,148 Days,2696.0,,,,Forced air,,"2,696 sqft",,FOR SALE,Attached Garage,$316,16,1630,Single Family,1965.0,437088.0,268.1521472392638
76,2250 Turnbull Ave,675000.0,2.0,4.0,"Bronx, NY 10473",No Data,167 Days,5998.0,100.0,60.0,,No Data,,"5,998 sqft",,FOR SALE,Attached Garage,$343,14,1968,Single Family,1930.0,539520.0,274.1463414634146
77,262 Zerega Ave,775000.0,4.0,4.0,"Bronx, NY 10473",Central,211 Days,1934.0,,,,Forced air,,,4703900,FOR SALE,2 spaces,$253,7,3068,Multi Family,2011.0,660497.0,215.28585397653194
78,260 Zerega Ave,750000.0,4.0,4.0,"Bronx, NY 10473",Central,211 Days,1894.0,,,,Forced air,,,4703899,FOR SALE,Carport,$244,10,3068,Multi Family,2011.0,659646.0,215.0084745762712
79,256 Zerega Ave,725000.0,4.0,4.0,"Bronx, NY 10473",Central,211 Days,1794.0,,,,Forced air,,,4703895,FOR SALE,1 space,$235,16,3086,Multi Family,2011.0,653941.0,211.90570317563188
80,264 Zerega Ave,800000.0,4.0,4.0,"Bronx, NY 10473",Central,211 Days,2082.0,,,,Forced air,,,4703901,FOR SALE,1 space,$261,5,3068,Multi Family,2011.0,663663.0,216.3177966101695
81,268 Zerega Ave,850000.0,4.0,4.0,"Bronx, NY 10473",No Data,212 Days,1894.0,,,,No Data,,,4703903,FOR SALE,2 spaces,$277,12,3068,Multi Family,2011.0,653852.0,213.1199478487614
82,266 Zerega Ave,825000.0,4.0,4.0,"Bronx, NY 10473",Central,211 Days,2082.0,,,,Forced air,,,4703902,FOR SALE,2 spaces,$269,7,3068,Multi Family,2011.0,663663.0,216.3177966101695
